Distance	Type	Venue	City	State
255.1	NE-VENUE	Paddy Power Pub	Merrick	NY
255.1	NE-HOUSE	Court House Concerts	Merrick	NY
255.1	NE-HOUSE	Monocacy Creek House Concerts	Nazareth	PA
255.2	NE-FEST	Fanwood Fanny wood Day Street Fair	Fanwood	NJ
255.2	NE-FEST	Fanwood Summer Fan Jam	Fanwood	NJ
255.3	NE-HOUSE	Songbox House Concerts	Seaford	NY
255.8	NE-HOUSE	Evergreen House Concerts	Plainfield	NJ
256.2	NE-VENUE	Raymond Wood Bauer Promenade	Linden	NJ
256.2	NE-LIBRARY	Linden Free Public Library	Linden	NJ
256.8	NE-VENUE	Willie May’s Orchard Place Speakeasy	Lackawanna	NY
256.8	NE-VENUE	The Irish Mafia Brewing Company	Bloomfield	NY
256.8	NE-VENUE	Noble Shepherd Craft Brewery	Bloomfield	NY
257.2	NE-VENUE	Watt Lounge	Rahway	NJ
257.5	NE-FEST	Artpark Free Tuesday Concert Series	Lewiston	NY
257.5	NE-VENUE	The Griffon Gastropub	Lewiston	NY
257.5	NE-FEST	Buffalo Cherry Blossom Festival	Buffalo	NY
257.5	NE-VENUE	Nietzsche's	Buffalo	NY
257.5	NE-VENUE	Sportsmens Tavern	Buffalo	NY
257.5	NE-VENUE	duende at silo city	Buffalo	NY
257.5	NE-VENUE	Elmwood Taco & Subs	Buffalo	NY
257.5	NE-VENUE	Flying Bison Brewing Co	Buffalo	NY
257.5	NE-VENUE	Hydraulic Hearth	Buffalo	NY
257.5	NE-VENUE	Jack Rabbit	Buffalo	NY
257.5	NE-VENUE	Larkin Square	Buffalo	NY
257.5	NE-VENUE	Osteria 166	Buffalo	NY
257.5	NE-VENUE	Revolver Records	Buffalo	NY
257.5	NE-VENUE	Southern Junction	Buffalo	NY
257.5	NE-VENUE	Sto Lat Bar	Buffalo	NY
257.5	NE-VENUE	Talty's Tavern	Buffalo	NY
257.5	NE-VENUE	Terminal B	Buffalo	NY
257.5	NE-VENUE	The Draft Room	Buffalo	NY
257.5	NE-THEATRE	The Town Ballroom	Buffalo	NY
257.5	NE-RADIO	WBNY	Buffalo	NY
257.6	NE-FEST	Boo Fest	Easton	PA
257.7	NE-FEST	Chelsea Spring Fair	Chelsea	NY
258.0	NE-VENUE	Rippers	Far Rockaway	NY
259.0	NE-FEST	Dunellen Harvest Fest	Dunellen	NJ
259.2	NE-VENUE	Dive	Fire Island	NY
259.3	NE-VENUE	Beginnings	Atlantic Beach	NY
259.3	NE-VENUE	Sandbar Fire Island	Ocean Beach	NY
259.3	NE-VENUE	Carteret Performing Arts and Events Center	Carteret	NJ
259.6	NE-VENUE	Borrelli's Tap Room	Long Beach	NY
259.6	NE-VENUE	Bright Eye Beer Co.	Long Beach	NY
259.6	NE-VENUE	JJ Coopers - American Restaurant & Bar	Long Beach	NY
259.6	NE-VENUE	The Saloon	Long Beach	NY
259.7	NE-VENUE	The Buoy Bar	Point Lookout	NY
260.1	NE-VENUE	Springville Center for the Arts	Springville	NY
260.3	NE-VENUE	The Hop Shoppe	Staten Island	NY
260.3	NE-HOUSE	Hamilton Park House Concerts	Staten Island	NY
260.3	NE-VENUE	Seneca Niagara Resort & Casino	Niagara Falls	NY
260.3	NE-VENUE	Hard Rock Cafe	Niagara Falls	NY
260.3	NE-VENUE	Old Falls Street Burgers	Niagara Falls	NY
260.4	NE-VENUE	Yankee BBQ Smokehouse & Tavern	Hamburg	NY
260.6	NE-VENUE	Anchors Tiki Bar	Woodbridge Township	NJ
260.6	NE-VENUE	J.J. Bitting Brewing Co.	Woodbridge Township	NJ
261.4	NE-HOUSE	No Place Special House Concerts	Mashpee	MA
261.6	NE-VENUE	Daily Brew Coffee House & Lounge	Falmouth	MA
263.6	NE-FEST	Bethlehem Musikfest	Bethlehem	PA
263.6	NE-VENUE	Godfrey Daniels	Bethlehem	PA
264.5	NE-FEST	Milford Alive	Milford	NJ
266.1	NE-FEST	Garden State Folk Festival	New Brunswick	NJ
266.1	NE-FEST	New Jersey Folk Festival	New Brunswick	NJ
266.1	NE-RADIO	WRSU	New Brunswick	NJ
266.1	NE-VENUE	River Of Beer	Bloomingdale	NJ
266.3	NE-FEST	Great Pennsylvania Music & Arts Celebration	Allentown	PA
266.6	NE-RADIO	WERU	Orland	ME
267.4	NE-FEST	Sourland Music Festival	Hillsborough	NJ
268.3	NE-RADIO	WSBU	St. Bonaventure	NY
268.8	NE-FEST	Summer Festival of the Music	Ellicottville	NY
268.8	NE-VENUE	Balloons Restaurant & Night Club	Ellicottville	NY
268.8	NE-VENUE	Mill St. Sports Pub	Ellicottville	NY
268.8	NE-VENUE	Villaggio	Ellicottville	NY
270.0	NE-FEST	East Brunswick Art and Music Festival	East Brunswick	NJ
271.0	NE-FEST	Kettle Creek Music Festival	Cross Fork	PA
271.2	NE-RADIO	WMEB	Orono	ME
272.9	NE-HOUSE	Brick Hill House Concerts	Orleans	MA
273.9	NE-HOUSE	Singing Oak House Concerts	West Harwich	MA
274.2	NE-HOUSE	Austin East House Concerts	Hopewell	NJ
275.2	NE-VENUE	Seneca Allegany Resort & Casino	Salamanca	NY
275.9	NE-VENUE	Cabana Sam's Sunset Bay Grill	Irving	NY
276.4	NE-VENUE	Ye Tavern Bar, Hilton	Princeton	NJ
276.4	NE-HOUSE	Music at Maltby's	Princeton	NJ
276.4	NE-RADIO	WPRB	Princeton	NJ
279.6	NE-HOUSE	Salon 33	West Windsor Township	NJ
280.3	NE-HOUSE	Worldwind House Concerts	Lawrenceville	NJ
280.4	NE-VENUE	The Lodge at Glendorn	Bradford	PA
281.1	NE-VENUE	HBCC Clubhouse	Silver Creek	NY
281.3	NE-HOUSE	Concerts in the Studio	Freehold	NJ
282.6	NE-HOUSE	Pete and Lisa's Ewing House Concerts	Ewing	NJ
282.6	NE-RADIO	WTSR	Ewing	NJ
284.0	NE-VENUE	Merritt Estate Winery	Forestville	NY
284.0	NE-VENUE	Wonder Park	Asbury Park	NJ
285.3	NE-HOUSE	Camp Marshall House Concerts	Robbinsville Township	NJ
286.1	NE-HOUSE	Krobath Concert Series	Hatfield	PA
286.1	NE-FEST	Hamilton Epicurean Palette	Hamilton	NJ
286.3	NE-HOUSE	Got Music	Newtown	PA
286.8	NE-HOUSE	Mueller House Concerts	Warrington	PA
287.1	NE-FEST	Philadelphia Folk Festival	Harleysville	PA
290.0	NE-HOUSE	Stone Turtle House Concerts	Southampton	PA
291.9	NE-VENUE	Downtown Brew	Fredonia	NY
292.7	NE-VENUE	The Beekeepers Cafe	Pottstown	PA
293.2	NE-VENUE	Flanagan's Pub	Shillington	PA
293.4	NE-FEST	Point Pleasant Summer fest	Point Pleasant	NJ
